"id_promotoria","nome"
"92","29ª PROMOTORIA DE JUSTIÇA DA CAPITAL"
"93","30ª PROMOTORIA DE JUSTIÇA DA CAPITAL"
"94","01ª PROMOTORIA DE JUSTIÇA DE PARAISO DO TOCANTINS"
"95","02ª PROMOTORIA DE JUSTIÇA DE PARAISO DO TOCANTINS"
"96","03ª PROMOTORIA DE JUSTIÇA DE PARAISO DO TOCANTINS"
"97","04ª PROMOTORIA DE JUSTIÇA DE PARAISO DO TOCANTINS"
"98","05ª PROMOTORIA DE JUSTIÇA DE PARAISO DO TOCANTINS"
"99","01ª PROMOTORIA DE JUSTIÇA DE PEDRO AFONSO"
"100","02ª PROMOTORIA DE JUSTIÇA DE PEDRO AFONSO"
"101","01ª PROMOTORIA DE JUSTIÇA DE PORTO NACIONAL"
"102","02ª PROMOTORIA DE JUSTIÇA DE PORTO NACIONAL"
"103","03ª PROMOTORIA DE JUSTIÇA DE PORTO NACIONAL"
"104","04ª PROMOTORIA DE JUSTIÇA DE PORTO NACIONAL"
"105","05ª PROMOTORIA DE JUSTIÇA DE PORTO NACIONAL"
"106","06ª PROMOTORIA DE JUSTIÇA DE PORTO NACIONAL"
"107","07ª PROMOTORIA DE JUSTIÇA DE PORTO NACIONAL"
"108","01ª PROMOTORIA DE JUSTIÇA DE TAGUATINGA"
"109","01ª PROMOTORIA DE JUSTIÇA DE TOCANTINOPOLIS"
"110","02ª PROMOTORIA DE JUSTIÇA DE TOCANTINOPOLIS"
"111","03ª PROMOTORIA DE JUSTIÇA DE TOCANTINOPOLIS"
"112","PROMOTORIA CENTRAL"
"113","02ª PROCURADORIA DE JUSTIÇA"
"114","PROCURADORIA-GERAL DE JUSTIÇA DO ESTADO DO TOCANTINS"
"115","08ª PROCURADORIA DE JUSTIÇA"
"117","SUBPROCURADORIA GERAL DE JUSTIÇA"
"118","04ª PROCURADORIA DE JUSTIÇA"
"120","15ª PROMOTORIA DE JUSTIÇA DA CAPITAL"
"121","03ª PROCURADORIA DE JUSTIÇA"
"123","09ª PROCURADORIA DE JUSTIÇA"
